gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000000001.4,553.2021931,-2.219685055,0.21438821,-10.35357802,4.0313220053505E-25,1.59721130264917E-23,ENSMUSG00000000001,ENSMUSG00000000001,Gnai3,protein coding gene
ENSMUSG00000000171.4,386.3664838,-2.280271879,0.212662286,-10.72250245,7.98141648381912E-27,3.58975339236835E-25,ENSMUSG00000000171,ENSMUSG00000000171,Sdhd,protein coding gene
ENSMUSG00000000204.15,24.25750789,-2.371729377,0.854629267,-2.775155811,0.005517527,0.013115781,ENSMUSG00000000204,ENSMUSG00000000204,Slfn4,protein coding gene
ENSMUSG00000000278.10,434.6954383,-2.032174803,0.223635989,-9.086975717,1.01832122175716E-19,2.37408170042361E-18,ENSMUSG00000000278,ENSMUSG00000000278,Scpep1,protein coding gene
ENSMUSG00000000296.7,37.03039389,-2.663166552,0.599605338,-4.441532427,8.93204829564237E-06,3.99331911749933E-05,ENSMUSG00000000296,ENSMUSG00000000296,Tpd52l1,protein coding gene
ENSMUSG00000000346.8,831.4891082,-2.039295078,0.241313332,-8.450818102,2.89268633213215E-17,5.39393352625958E-16,ENSMUSG00000000346,ENSMUSG00000000346,Dazap2,protein coding gene
ENSMUSG00000000392.17,23.69747852,-2.597379997,0.668455668,-3.885642866,0.000102059,0.000368423,ENSMUSG00000000392,ENSMUSG00000000392,Fap,protein coding gene
ENSMUSG00000000561.14,203.816233,-2.303920222,0.244723448,-9.414382816,4.75869821082025E-21,1.28197372494321E-19,ENSMUSG00000000561,ENSMUSG00000000561,Wdr77,protein coding gene
ENSMUSG00000000563.17,728.2245022,-2.799781782,0.18901376,-14.81258184,1.21482986809947E-49,2.86085609050526E-47,ENSMUSG00000000563,ENSMUSG00000000563,Atp5pb,protein coding gene
ENSMUSG00000000581.8,147.6157493,-2.664553163,0.301083066,-8.849893803,8.76026142443389E-19,1.87162404887574E-17,ENSMUSG00000000581,ENSMUSG00000000581,C1d,protein coding gene
ENSMUSG00000000787.12,1265.26051494445,-2.467314289,0.171368683,-14.39769647,5.34970110625656E-47,9.83547241105538E-45,ENSMUSG00000000787,ENSMUSG00000000787,Ddx3x,protein coding gene
ENSMUSG00000000983.13,20.44283854,-2.721703084,0.750255952,-3.627699422,0.000285958,0.000935286,ENSMUSG00000000983,ENSMUSG00000000983,Wfdc18,protein coding gene
ENSMUSG00000001313.12,77.28536813,-2.227153288,0.384880212,-5.786614167,7.18192814262798E-09,5.25947001891474E-08,ENSMUSG00000001313,ENSMUSG00000001313,Rnd2,protein coding gene
ENSMUSG00000001467.5,247.758624,-2.592369089,0.289693167,-8.948671841,3.59785016594503E-19,8.02205762000446E-18,ENSMUSG00000001467,ENSMUSG00000001467,Cyp51,protein coding gene
ENSMUSG00000001627.11,1000.37780019551,-2.438640561,0.204783682,-11.90837344,1.07045014872005E-32,7.60527615831307E-31,ENSMUSG00000001627,ENSMUSG00000001627,Ifrd1,protein coding gene
ENSMUSG00000001707.7,84.43133532,-3.085476012,0.388039253,-7.951453325,1.84336073163445E-15,2.84918861167599E-14,ENSMUSG00000001707,ENSMUSG00000001707,Eef1e1,protein coding gene
ENSMUSG00000001774.7,167.9099154,-2.297098249,0.265374321,-8.656068314,4.88316037652231E-18,9.76585480262701E-17,ENSMUSG00000001774,ENSMUSG00000001774,Chordc1,protein coding gene
ENSMUSG00000001783.3,761.79189689048,-2.278812768,0.169466193,-13.44700512,3.20596092516427E-41,4.07234757760714E-39,ENSMUSG00000001783,ENSMUSG00000001783,Rtcb,protein coding gene
ENSMUSG00000001891.16,228.8083046,-2.769092459,0.260552777,-10.62776029,2.21364735955297E-26,9.68597808118386E-25,ENSMUSG00000001891,ENSMUSG00000001891,Ugp2,protein coding gene
ENSMUSG00000001948.9,14.51137337,-2.343461109,0.830105102,-2.823089636,0.004756327,0.0115113,ENSMUSG00000001948,ENSMUSG00000001948,Spa17,protein coding gene
ENSMUSG00000002015.5,406.7294842,-2.643555894,0.216128077,-12.23143209,2.11182261340084E-34,1.69585019748154E-32,ENSMUSG00000002015,ENSMUSG00000002015,Bcap31,protein coding gene
ENSMUSG00000002477.4,103.408324,-3.429293007,0.362050855,-9.471854464,2.7491887452759E-21,7.591600383694E-20,ENSMUSG00000002477,ENSMUSG00000002477,Snrpd1,protein coding gene
ENSMUSG00000002588.12,58.4609451,-2.270793112,0.484296467,-4.688849221,2.74745726686456E-06,1.35015139170491E-05,ENSMUSG00000002588,ENSMUSG00000002588,Pon1,protein coding gene
ENSMUSG00000002728.14,97.72613989,-2.283487968,0.421686181,-5.41513588,6.12421798910282E-08,3.92170744985048E-07,ENSMUSG00000002728,ENSMUSG00000002728,Naa20,protein coding gene
ENSMUSG00000002732.14,69.61707139,-2.007541682,0.492745774,-4.074193606,4.61740582688244E-05,0.000178884,ENSMUSG00000002732,ENSMUSG00000002732,Fkbp7,protein coding gene
ENSMUSG00000002808.6,68.58115777,-2.594248537,0.440138229,-5.894167711,3.7657455762823E-09,2.87318025239537E-08,ENSMUSG00000002808,ENSMUSG00000002808,Epdr1,protein coding gene
ENSMUSG00000003038.15,310.8495193,-2.612604591,0.226758781,-11.52151455,1.02788182294793E-30,6.37377962342182E-29,ENSMUSG00000003038,ENSMUSG00000003038,Hmgn2,protein coding gene
ENSMUSG00000004558.14,248.3365896,-2.004148114,0.274894294,-7.290613717,3.08546247016242E-13,3.7751434858222E-12,ENSMUSG00000004558,ENSMUSG00000004558,Ndrg2,protein coding gene
ENSMUSG00000004642.13,78.46065419,-2.260141495,0.479382494,-4.714693426,2.42074949100816E-06,1.2002954478836E-05,ENSMUSG00000004642,ENSMUSG00000004642,Slbp,protein coding gene
ENSMUSG00000004821.1,21.4473618,-2.520917034,0.686160834,-3.673944806,0.000238834,0.00079528,ENSMUSG00000004821,ENSMUSG00000004821,Tmed11,protein coding gene
ENSMUSG00000004843.6,250.3262383,-2.455688582,0.239294243,-10.26221337,1.04288483464853E-24,3.95975058865914E-23,ENSMUSG00000004843,ENSMUSG00000004843,Chmp2b,protein coding gene
ENSMUSG00000004980.16,1805.69915381682,-2.294023548,0.141774608,-16.18077861,6.89173800258245E-59,2.77776801531011E-56,ENSMUSG00000004980,ENSMUSG00000004980,Hnrnpa2b1,protein coding gene
ENSMUSG00000005656.8,267.7108581,-2.253663753,0.234178653,-9.623694254,6.35083712021318E-22,1.85644623713456E-20,ENSMUSG00000005656,ENSMUSG00000005656,Snx6,protein coding gene
ENSMUSG00000006373.10,624.52352130535,-2.179513945,0.194917502,-11.18172521,5.01063241958681E-29,2.69276525338769E-27,ENSMUSG00000006373,ENSMUSG00000006373,Pgrmc1,protein coding gene
ENSMUSG00000006412.10,126.6308365,-2.825717225,0.315433091,-8.958214296,3.29978708316806E-19,7.42062633863941E-18,ENSMUSG00000006412,ENSMUSG00000006412,Pfdn2,protein coding gene
ENSMUSG00000006423.15,159.3902056,-2.234225326,0.281471914,-7.937649254,2.06049025996425E-15,3.17309444221828E-14,ENSMUSG00000006423,ENSMUSG00000006423,Steep1,protein coding gene
ENSMUSG00000006941.4,154.9102406,-2.223154737,0.313824921,-7.084060535,1.39990708758639E-12,1.59546778949011E-11,ENSMUSG00000006941,ENSMUSG00000006941,Eif1b,protein coding gene
ENSMUSG00000007682.5,14.76794124,-2.351168602,0.831478272,-2.827696982,0.004688416,0.011360059,ENSMUSG00000007682,ENSMUSG00000007682,Dio2,protein coding gene
ENSMUSG00000007850.16,1015.30239657496,-2.051662744,0.176460921,-11.62672579,3.0143928554096E-31,1.92032400779726E-29,ENSMUSG00000007850,ENSMUSG00000007850,Hnrnph1,protein coding gene
ENSMUSG00000008333.12,100.4362293,-3.236530826,0.381967525,-8.473314119,2.3850829377125E-17,4.45931786721823E-16,ENSMUSG00000008333,ENSMUSG00000008333,Snrpb2,protein coding gene
ENSMUSG00000008475.13,788.6187383,-2.095546208,0.177589381,-11.7999522,3.90533218057352E-32,2.64892741659031E-30,ENSMUSG00000008475,ENSMUSG00000008475,Arpc5,protein coding gene
ENSMUSG00000008540.11,484.9531883,-2.54880172,0.240135827,-10.61400023,2.56525799101978E-26,1.11085211226826E-24,ENSMUSG00000008540,ENSMUSG00000008540,Mgst1,protein coding gene
ENSMUSG00000008683.16,1845.77065724634,-2.162112171,0.177789605,-12.16107194,5.00969664218539E-34,3.87447350271452E-32,ENSMUSG00000008683,ENSMUSG00000008683,Rps15a,protein coding gene
ENSMUSG00000008859.7,244.4918109,-2.24896709,0.24477323,-9.187961818,4.00354950144522E-20,9.74569036013826E-19,ENSMUSG00000008859,ENSMUSG00000008859,Rala,protein coding gene
ENSMUSG00000008892.12,428.532327,-3.285125132,0.230120317,-14.27568487,3.10225058978103E-46,5.46387143791771E-44,ENSMUSG00000008892,ENSMUSG00000008892,Vdac3,protein coding gene
ENSMUSG00000009927.8,2255.42509579668,-2.33085687,0.178223743,-13.0782624,4.38346134133694E-39,4.81010294518749E-37,ENSMUSG00000009927,ENSMUSG00000009927,Rps25,protein coding gene
ENSMUSG00000010376.14,353.1098658,-2.013644672,0.20099797,-10.01823389,1.26747526196629E-23,4.33360750661523E-22,ENSMUSG00000010376,ENSMUSG00000010376,Nedd8,protein coding gene
ENSMUSG00000012405.15,1670.15458483608,-2.686069669,0.170763708,-15.72974554,9.45904467597405E-56,2.91547231417265E-53,ENSMUSG00000012405,ENSMUSG00000012405,Rpl15,protein coding gene
ENSMUSG00000012422.14,432.5820015,-2.135063177,0.237913163,-8.974127997,2.8560505746497E-19,6.45738554412978E-18,ENSMUSG00000012422,ENSMUSG00000012422,Tmem167,protein coding gene
ENSMUSG00000012483.4,42.10975283,-2.243433517,0.725832991,-3.090839827,0.001995913,0.005342571,ENSMUSG00000012483,ENSMUSG00000012483,Rpa3,protein coding gene
ENSMUSG00000013662.5,262.2318672,-2.729817271,0.24328473,-11.22066834,3.22821423942989E-29,1.77120791215212E-27,ENSMUSG00000013662,ENSMUSG00000013662,Atad1,protein coding gene
ENSMUSG00000013701.12,242.0395357,-2.523421149,0.251006294,-10.05321863,8.89149181497253E-24,3.08537710182135E-22,ENSMUSG00000013701,ENSMUSG00000013701,Timm23,protein coding gene
ENSMUSG00000014077.13,715.2061599,-2.065397401,0.172443882,-11.97721474,4.67776663159777E-33,3.3924329007494E-31,ENSMUSG00000014077,ENSMUSG00000014077,Chp1,protein coding gene
ENSMUSG00000014177.10,250.3626707,-2.674294855,0.284855577,-9.388248188,6.10064377367654E-21,1.61647778574572E-19,ENSMUSG00000014177,ENSMUSG00000014177,Tvp23b,protein coding gene
ENSMUSG00000014226.10,220.9108765,-2.507106293,0.268191441,-9.348196522,8.91548983145851E-21,2.32412626091466E-19,ENSMUSG00000014226,ENSMUSG00000014226,Cacybp,protein coding gene
ENSMUSG00000014769.9,608.32012442307,-2.03895475,0.183593171,-11.10583112,1.17518895092643E-28,6.15769630561677E-27,ENSMUSG00000014769,ENSMUSG00000014769,Psmb1,protein coding gene
ENSMUSG00000014905.3,565.1666894,-2.174938037,0.270899666,-8.028574094,9.86120495820056E-16,1.57291472388832E-14,ENSMUSG00000014905,ENSMUSG00000014905,Dnajb9,protein coding gene
ENSMUSG00000014932.15,142.5718711,-2.003683157,0.300994558,-6.656875033,2.79710813946286E-11,2.77578548745275E-10,ENSMUSG00000014932,ENSMUSG00000014932,Yes1,protein coding gene
ENSMUSG00000014956.15,805.3936058,-2.046845134,0.190215055,-10.76068943,5.27738565605967E-27,2.42032223118938E-25,ENSMUSG00000014956,ENSMUSG00000014956,Ppp1cb,protein coding gene
ENSMUSG00000015112.15,62.75377766,-2.320663747,0.464574802,-4.995242398,5.87619128302E-07,3.22913196383891E-06,ENSMUSG00000015112,ENSMUSG00000015112,Slc25a13,protein coding gene
ENSMUSG00000015217.11,60.51873939,-3.048577467,0.523077688,-5.828154285,5.60437540154326E-09,4.16827906461835E-08,ENSMUSG00000015217,ENSMUSG00000015217,Hmgb3,protein coding gene
ENSMUSG00000015247.10,99.13453709,-2.342592191,0.369220542,-6.344696255,2.22864717101492E-10,1.98513455407147E-09,ENSMUSG00000015247,ENSMUSG00000015247,Nipsnap3b,protein coding gene
ENSMUSG00000015289.4,125.4866861,-2.109134665,0.382593499,-5.512730009,3.53310008463976E-08,2.3478200594155E-07,ENSMUSG00000015289,ENSMUSG00000015289,Lage3,protein coding gene
ENSMUSG00000015536.14,156.0454673,-2.118440808,0.267093998,-7.931442963,2.16614082270937E-15,3.32601798557991E-14,ENSMUSG00000015536,ENSMUSG00000015536,Mocs2,protein coding gene
ENSMUSG00000015568.15,1953.19026246225,-2.143174208,0.248082991,-8.638940549,5.67366883576187E-18,1.12077686266478E-16,ENSMUSG00000015568,ENSMUSG00000015568,Lpl,protein coding gene
ENSMUSG00000015652.9,11.88558253,-2.906745642,1.244990917,-2.334752488,0.019556355,0.039457223,ENSMUSG00000015652,ENSMUSG00000015652,Steap1,protein coding gene
ENSMUSG00000015671.10,336.9756095,-2.928884691,0.231216966,-12.66725682,8.98001053983413E-37,8.63357985799924E-35,ENSMUSG00000015671,ENSMUSG00000015671,Psma2,protein coding gene
ENSMUSG00000015672.3,84.51760548,-2.672152528,0.608979781,-4.387916661,1.14441608486801E-05,5.02847310749446E-05,ENSMUSG00000015672,ENSMUSG00000015672,Mrpl32,protein coding gene
ENSMUSG00000015733.13,500.5700328,-2.275531448,0.277179035,-8.20960882,2.2191026743023E-16,3.79985073126649E-15,ENSMUSG00000015733,ENSMUSG00000015733,Capza2,protein coding gene
ENSMUSG00000015749.12,237.1585432,-2.243652225,0.246870753,-9.08836791,1.00536828670981E-19,2.3464937551393E-18,ENSMUSG00000015749,ENSMUSG00000015749,Anp32e,protein coding gene
ENSMUSG00000015750.15,272.6963677,-2.066990738,0.29723526,-6.95405632,3.54929804450033E-12,3.8906766587177E-11,ENSMUSG00000015750,ENSMUSG00000015750,Aph1a,protein coding gene
ENSMUSG00000015759.10,270.7018979,-2.356694377,0.228784746,-10.30092444,6.97873945843313E-25,2.69369061343094E-23,ENSMUSG00000015759,ENSMUSG00000015759,Cnih1,protein coding gene
ENSMUSG00000015854.7,163.2946534,-2.383239744,0.475611382,-5.010897198,5.41768520465132E-07,2.99444262142107E-06,ENSMUSG00000015854,ENSMUSG00000015854,Cd5l,protein coding gene
ENSMUSG00000015932.8,1041.50420625081,-2.058196155,0.231904554,-8.875186458,6.98163501866618E-19,1.50698340222682E-17,ENSMUSG00000015932,ENSMUSG00000015932,Dstn,protein coding gene
ENSMUSG00000016194.14,146.0992226,-2.139143995,0.295674956,-7.234782505,4.66275774711725E-13,5.59717867249888E-12,ENSMUSG00000016194,ENSMUSG00000016194,Hsd11b1,protein coding gene
ENSMUSG00000016308.12,118.5768492,-2.028585225,0.424509005,-4.778662411,1.76465191822146E-06,8.97484580296133E-06,ENSMUSG00000016308,ENSMUSG00000016308,Ube2a,protein coding gene
ENSMUSG00000016319.3,1444.55410542048,-2.8032822,0.205013045,-13.6736772,1.45835199348464E-42,1.94685346697099E-40,ENSMUSG00000016319,ENSMUSG00000016319,Slc25a5,protein coding gene
ENSMUSG00000016382.15,206.3611752,-2.206530313,0.260105391,-8.483216383,2.19052746250512E-17,4.11760224992331E-16,ENSMUSG00000016382,ENSMUSG00000016382,Pls3,protein coding gene
ENSMUSG00000017144.8,107.3411042,-2.738650606,0.359349426,-7.62113534,2.51454125322294E-14,3.4311373780143E-13,ENSMUSG00000017144,ENSMUSG00000017144,Rnd3,protein coding gene
ENSMUSG00000017188.3,359.9313357,-2.654442732,0.287354651,-9.237514419,2.52289575577653E-20,6.32985216674381E-19,ENSMUSG00000017188,ENSMUSG00000017188,Coa3,protein coding gene
ENSMUSG00000017286.15,153.6120705,-2.079812798,0.273152241,-7.61411581,2.6550266506625E-14,3.61107745433065E-13,ENSMUSG00000017286,ENSMUSG00000017286,Glod4,protein coding gene
ENSMUSG00000017453.4,12.30215067,-4.049336975,1.069816131,-3.785077509,0.000153661,0.000533473,ENSMUSG00000017453,ENSMUSG00000017453,Pipox,protein coding gene
ENSMUSG00000017499.15,15.6355468,-2.170380552,0.954012949,-2.275001147,0.022905861,0.045410891,ENSMUSG00000017499,ENSMUSG00000017499,Cdc6,protein coding gene
ENSMUSG00000017716.15,17.95562126,-2.338299124,0.759575844,-3.078427444,0.002080962,0.00554403,ENSMUSG00000017716,ENSMUSG00000017716,Birc5,protein coding gene
ENSMUSG00000017778.14,519.84282166311,-2.493769078,0.20009029,-12.46321886,1.18489661224353E-35,1.02198551835441E-33,ENSMUSG00000017778,ENSMUSG00000017778,Cox7c,protein coding gene
ENSMUSG00000017831.7,227.8093111,-2.581099965,0.263184003,-9.807206886,1.04830023417912E-22,3.29899768891293E-21,ENSMUSG00000017831,ENSMUSG00000017831,Rab5a,protein coding gene
ENSMUSG00000018189.12,248.9454394,-2.849778181,0.314575943,-9.059110352,1.31518829821898E-19,3.04922915291722E-18,ENSMUSG00000018189,ENSMUSG00000018189,Uchl5,protein coding gene
ENSMUSG00000018211.13,28.42327304,-2.311229806,0.618945495,-3.734141093,0.000188357,0.000640872,ENSMUSG00000018211,ENSMUSG00000018211,Wfdc15b,protein coding gene
ENSMUSG00000018362.14,198.8097143,-3.107806301,0.306473241,-10.14054698,3.65049757506288E-24,1.31236327059593E-22,ENSMUSG00000018362,ENSMUSG00000018362,Kpna2,protein coding gene
ENSMUSG00000018446.8,426.2561907,-2.101844198,0.229512087,-9.157880218,5.29267185006816E-20,1.26487011750945E-18,ENSMUSG00000018446,ENSMUSG00000018446,C1qbp,protein coding gene
ENSMUSG00000018770.9,875.018383,-2.05387357,0.167888744,-12.23353942,2.05773000409847E-34,1.66517232262161E-32,ENSMUSG00000018770,ENSMUSG00000018770,Atp5mc3,protein coding gene
ENSMUSG00000018965.11,455.2747391399,-2.327765246,0.224460206,-10.37050304,3.37742082004899E-25,1.35257333094114E-23,ENSMUSG00000018965,ENSMUSG00000018965,Ywhah,protein coding gene
ENSMUSG00000019373.11,136.6668481,-2.251153557,0.294369748,-7.647367203,2.05135915411897E-14,2.83979105093656E-13,ENSMUSG00000019373,ENSMUSG00000019373,Cops3,protein coding gene
ENSMUSG00000019777.16,231.3451126,-2.705871135,0.327096506,-8.272393872,1.31295719562339E-16,2.29238847967068E-15,ENSMUSG00000019777,ENSMUSG00000019777,Hdac2,protein coding gene
ENSMUSG00000019809.16,78.81433728,-2.111080713,0.397677041,-5.308530524,1.10512580014737E-07,6.80444525419765E-07,ENSMUSG00000019809,ENSMUSG00000019809,Pex3,protein coding gene
ENSMUSG00000019810.15,343.8198421,-2.571036906,0.234060049,-10.98451837,4.53651792310113E-28,2.27466218062863E-26,ENSMUSG00000019810,ENSMUSG00000019810,Fuca2,protein coding gene
ENSMUSG00000019818.15,2276.17390112757,-2.140371843,0.151326487,-14.14406617,2.03196053464799E-45,3.46242771103148E-43,ENSMUSG00000019818,ENSMUSG00000019818,Cd164,protein coding gene
ENSMUSG00000019853.5,35.42347844,-2.48190352,0.533544632,-4.651726154,3.29168015456362E-06,1.59373581096179E-05,ENSMUSG00000019853,ENSMUSG00000019853,Hebp2,protein coding gene
ENSMUSG00000019872.13,542.3431848,-2.223220085,0.234365388,-9.486128046,2.39775454007387E-21,6.65623011992163E-20,ENSMUSG00000019872,ENSMUSG00000019872,Smpdl3a,protein coding gene
ENSMUSG00000019948.3,26.62348779,-2.193788911,0.869573947,-2.52283192,0.011641403,0.025146054,ENSMUSG00000019948,ENSMUSG00000019948,Actr6,protein coding gene
ENSMUSG00000020003.15,139.9337606,-2.742522887,0.38371788,-7.147237668,8.8541505867873E-13,1.03493270554775E-11,ENSMUSG00000020003,ENSMUSG00000020003,Pex7,protein coding gene
