gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000007880.16,2160.955691,2.181931734,0.21124948,10.32869635,5.22661E-25,2.03614E-23,ENSMUSG00000007880,ENSMUSG00000007880,Arid1a,protein coding gene
ENSMUSG00000019947.9,526.4866261,3.617630167,0.304818868,11.86813071,1.73296E-32,1.20668E-30,ENSMUSG00000019947,ENSMUSG00000019947,Arid5b,protein coding gene
ENSMUSG00000035277.15,18.41005371,3.587373314,0.875131134,4.099240874,4.14507E-05,0.000162265,ENSMUSG00000035277,ENSMUSG00000035277,Arx,protein coding gene
ENSMUSG00000048251.15,79.90910246,2.615346418,0.582655233,4.488668891,7.16696E-06,3.26975E-05,ENSMUSG00000048251,ENSMUSG00000048251,Bcl11b,protein coding gene
ENSMUSG00000042589.18,142.4572308,2.698951757,0.377332113,7.152722137,8.50737E-13,9.9668E-12,ENSMUSG00000042589,ENSMUSG00000042589,Cux2,protein coding gene
ENSMUSG00000055639.16,89.45958664,3.31804684,0.456228005,7.272782031,3.52158E-13,4.28374E-12,ENSMUSG00000055639,ENSMUSG00000055639,Dach1,protein coding gene
ENSMUSG00000033730.3,21.53123384,2.342623789,0.697172579,3.36017775,0.000778923,0.002306181,ENSMUSG00000033730,ENSMUSG00000033730,Egr3,protein coding gene
ENSMUSG00000026610.13,8.497093673,2.829895948,1.256038563,2.253032694,0.024257088,0.04772405,ENSMUSG00000026610,ENSMUSG00000026610,Esrrg,protein coding gene
ENSMUSG00000003545.3,19.98049187,2.033554315,0.767194952,2.650635681,0.008034045,0.018190078,ENSMUSG00000003545,ENSMUSG00000003545,Fosb,protein coding gene
ENSMUSG00000046714.7,19.00968788,2.10820509,0.720124258,2.927557386,0.00341636,0.00857195,ENSMUSG00000046714,ENSMUSG00000046714,Foxc2,protein coding gene
ENSMUSG00000039521.12,18.35182725,2.638134344,0.834628312,3.160849334,0.001573098,0.004324576,ENSMUSG00000039521,ENSMUSG00000039521,Foxp3,protein coding gene
ENSMUSG00000048402.14,101.6545314,2.272207085,0.408225014,5.566065295,2.60556E-08,1.77075E-07,ENSMUSG00000048402,ENSMUSG00000048402,Gli2,protein coding gene
ENSMUSG00000052942.13,612.4859787,2.350849261,0.258320822,9.100502406,8.99149E-20,2.11033E-18,ENSMUSG00000052942,ENSMUSG00000052942,Glis3,protein coding gene
ENSMUSG00000015501.10,626.7776522,2.329545951,0.194932042,11.9505543,6.44936E-33,4.66111E-31,ENSMUSG00000015501,ENSMUSG00000015501,Hivep2,protein coding gene
ENSMUSG00000028634.16,294.2298361,3.002866334,0.252335601,11.90028806,1.17939E-32,8.29494E-31,ENSMUSG00000028634,ENSMUSG00000028634,Hivep3,protein coding gene
ENSMUSG00000029556.12,299.603546,2.111229137,0.291980147,7.230728397,4.8041E-13,5.76355E-12,ENSMUSG00000029556,ENSMUSG00000029556,Hnf1a,protein coding gene
ENSMUSG00000048763.11,29.03621761,2.740868904,0.579826249,4.727052127,2.27803E-06,1.13652E-05,ENSMUSG00000048763,ENSMUSG00000048763,Hoxb3,protein coding gene
ENSMUSG00000068154.5,148.7160616,3.24880766,0.320111238,10.14899594,3.3479E-24,1.21189E-22,ENSMUSG00000068154,ENSMUSG00000068154,Insm1,protein coding gene
ENSMUSG00000072294.4,22.06090881,4.160797754,0.82092032,5.068455062,4.01058E-07,2.26754E-06,ENSMUSG00000072294,ENSMUSG00000072294,Klf12,protein coding gene
ENSMUSG00000005148.7,72.90867046,3.203283862,0.40369626,7.934886154,2.10688E-15,3.24216E-14,ENSMUSG00000005148,ENSMUSG00000005148,Klf5,protein coding gene
ENSMUSG00000025959.13,174.773668,2.061224042,0.327295624,6.297743963,3.02009E-10,2.64403E-09,ENSMUSG00000025959,ENSMUSG00000025959,Klf7,protein coding gene
ENSMUSG00000038056.15,1530.081679,2.636982814,0.1769612,14.90147453,3.22385E-50,7.85683E-48,ENSMUSG00000038056,ENSMUSG00000038056,Kmt2c,protein coding gene
ENSMUSG00000027985.14,36.2604228,2.411494031,0.862313771,2.79653893,0.005165319,0.012361217,ENSMUSG00000027985,ENSMUSG00000027985,Lef1,protein coding gene
ENSMUSG00000026934.15,32.5355525,2.840121427,0.570746762,4.976149873,6.48614E-07,3.53834E-06,ENSMUSG00000026934,ENSMUSG00000026934,Lhx3,protein coding gene
ENSMUSG00000028176.11,166.2282075,3.43471066,0.373101034,9.205846,3.3899E-20,8.30982E-19,ENSMUSG00000028176,ENSMUSG00000028176,Lrrc7,protein coding gene
ENSMUSG00000104597.1,21.25793513,2.98267696,0.722797831,4.126571543,3.68211E-05,0.000145858,ENSMUSG00000104597,ENSMUSG00000104597,Lrrc7,protein coding gene
ENSMUSG00000047591.4,190.7094627,2.727128813,0.302657034,9.010624272,2.04887E-19,4.70342E-18,ENSMUSG00000047591,ENSMUSG00000047591,Mafa,protein coding gene
ENSMUSG00000005373.13,709.9275795,2.656088525,0.249794171,10.6331085,2.09027E-26,9.16527E-25,ENSMUSG00000005373,ENSMUSG00000005373,Mlxipl,protein coding gene
ENSMUSG00000022346.14,1146.063335,2.031874329,0.196169911,10.35772671,3.86028E-25,1.53525E-23,ENSMUSG00000022346,ENSMUSG00000022346,Myc,protein coding gene
ENSMUSG00000061911.14,60.55572378,4.496348753,0.632916373,7.104175121,1.21043E-12,1.39087E-11,ENSMUSG00000061911,ENSMUSG00000061911,Myt1l,protein coding gene
ENSMUSG00000030380.17,32.21814171,3.763953774,0.610958173,6.16073889,7.24063E-10,6.04848E-09,ENSMUSG00000030380,ENSMUSG00000030380,Mzf1,protein coding gene
ENSMUSG00000029478.16,3506.706661,2.948882415,0.219858496,13.41263801,5.09922E-41,6.39967E-39,ENSMUSG00000029478,ENSMUSG00000029478,Ncor2,protein coding gene
ENSMUSG00000034701.9,122.9703501,3.538187923,0.37390325,9.462843455,2.99681E-21,8.23199E-20,ENSMUSG00000034701,ENSMUSG00000034701,Neurod1,protein coding gene
ENSMUSG00000033016.15,1289.474924,2.079389158,0.250796487,8.291141496,1.12167E-16,1.97555E-15,ENSMUSG00000033016,ENSMUSG00000033016,Nfatc1,protein coding gene
ENSMUSG00000027544.16,605.7151362,2.429514106,0.24229339,10.027158,1.15802E-23,3.96583E-22,ENSMUSG00000027544,ENSMUSG00000027544,Nfatc2,protein coding gene
ENSMUSG00000027434.11,136.3142587,2.284147401,0.290922,7.851408291,4.11391E-15,6.15004E-14,ENSMUSG00000027434,ENSMUSG00000027434,Nkx2-2,protein coding gene
ENSMUSG00000035187.10,316.3257001,3.098753372,0.259478374,11.94224138,7.12762E-33,5.11602E-31,ENSMUSG00000035187,ENSMUSG00000035187,Nkx6-1,protein coding gene
ENSMUSG00000021010.7,10.85466162,2.837299804,0.920197696,3.083358952,0.002046781,0.005461992,ENSMUSG00000021010,ENSMUSG00000021010,Npas3,protein coding gene
ENSMUSG00000045903.8,10.4633926,7.360109676,1.729464631,4.255715638,2.08381E-05,8.69667E-05,ENSMUSG00000045903,ENSMUSG00000045903,Npas4,protein coding gene
ENSMUSG00000005893.14,286.4818785,2.279440724,0.241777959,9.427826802,4.18673E-21,1.13518E-19,ENSMUSG00000005893,ENSMUSG00000005893,Nr2c2,protein coding gene
ENSMUSG00000028341.9,110.8083939,2.45610685,0.597105162,4.113357254,3.89946E-05,0.000153478,ENSMUSG00000028341,ENSMUSG00000028341,Nr4a3,protein coding gene
ENSMUSG00000043013.10,236.8529718,3.895004845,0.34434291,11.31141292,1.15219E-29,6.58004E-28,ENSMUSG00000043013,ENSMUSG00000043013,Onecut1,protein coding gene
ENSMUSG00000045991.18,15.05749093,7.877575628,1.638021686,4.809201061,1.51535E-06,7.79965E-06,ENSMUSG00000045991,ENSMUSG00000045991,Onecut2,protein coding gene
ENSMUSG00000027168.21,175.6530172,2.871176446,0.364613339,7.874578732,3.41893E-15,5.1515E-14,ENSMUSG00000027168,ENSMUSG00000027168,Pax6,protein coding gene
ENSMUSG00000028736.13,3.911163377,5.878036096,2.497657008,2.353420056,0.018601607,0.037723376,ENSMUSG00000028736,ENSMUSG00000028736,Pax7,protein coding gene
ENSMUSG00000002265.16,1430.899737,3.456000431,0.303192599,11.39869655,4.24426E-30,2.51998E-28,ENSMUSG00000002265,ENSMUSG00000002265,Peg3,protein coding gene
ENSMUSG00000021506.7,3.754269728,5.858918328,2.049325903,2.858949043,0.004250471,0.010412063,ENSMUSG00000021506,ENSMUSG00000021506,Pitx1,protein coding gene
ENSMUSG00000035456.9,23.81127045,2.948012997,0.824577981,3.575177927,0.00034999,0.001120941,ENSMUSG00000035456,ENSMUSG00000035456,Prdm8,protein coding gene
ENSMUSG00000043991.4,524.01642,2.392694124,0.18119488,13.20508686,8.20051E-40,9.49582E-38,ENSMUSG00000043991,ENSMUSG00000043991,Pura,protein coding gene
ENSMUSG00000037992.16,563.6749432,2.092330233,0.191105727,10.94854807,6.75212E-28,3.32983E-26,ENSMUSG00000037992,ENSMUSG00000037992,Rara,protein coding gene
ENSMUSG00000039852.16,1954.865846,2.092751151,0.144414853,14.49124591,1.37624E-47,2.67079E-45,ENSMUSG00000039852,ENSMUSG00000039852,Rere,protein coding gene
ENSMUSG00000031706.7,537.641329,2.267403086,0.247095953,9.176204863,4.46552E-20,1.08075E-18,ENSMUSG00000031706,ENSMUSG00000031706,Rfx1,protein coding gene
ENSMUSG00000024206.14,176.5700897,2.444363068,0.328776645,7.434722337,1.04788E-13,1.34905E-12,ENSMUSG00000024206,ENSMUSG00000024206,Rfx2,protein coding gene
ENSMUSG00000019900.17,74.97277351,2.44866151,0.379828218,6.446760383,1.14266E-10,1.05735E-09,ENSMUSG00000019900,ENSMUSG00000019900,Rfx6,protein coding gene
ENSMUSG00000022952.16,221.23835,2.249983835,0.240581512,9.352272413,8.57845E-21,2.24184E-19,ENSMUSG00000022952,ENSMUSG00000022952,Runx1,protein coding gene
ENSMUSG00000039153.16,41.74015127,2.379906602,0.527038791,4.515619422,6.3132E-06,2.90951E-05,ENSMUSG00000039153,ENSMUSG00000039153,Runx2,protein coding gene
ENSMUSG00000070691.10,138.22729,2.484036078,0.400979971,6.194913113,5.83172E-10,4.93448E-09,ENSMUSG00000070691,ENSMUSG00000070691,Runx3,protein coding gene
ENSMUSG00000031665.7,268.8649449,2.009977307,0.247773648,8.112151247,4.97313E-16,8.19433E-15,ENSMUSG00000031665,ENSMUSG00000031665,Sall1,protein coding gene
ENSMUSG00000027547.17,18.63811464,3.665925106,0.844808481,4.33935642,1.42901E-05,6.16393E-05,ENSMUSG00000027547,ENSMUSG00000027547,Sall4,protein coding gene
ENSMUSG00000038331.15,34.32686844,2.610161792,0.586827008,4.447923757,8.67043E-06,3.88298E-05,ENSMUSG00000038331,ENSMUSG00000038331,Satb2,protein coding gene
ENSMUSG00000024548.11,374.937125,2.82802417,0.205062562,13.79103109,2.88605E-43,4.22998E-41,ENSMUSG00000024548,ENSMUSG00000024548,Setbp1,protein coding gene
ENSMUSG00000009097.9,14.87897159,2.973103929,0.851827627,3.490264739,0.000482542,0.001495874,ENSMUSG00000009097,ENSMUSG00000009097,Tbx1,protein coding gene
ENSMUSG00000030699.16,53.48201137,2.083146498,0.49620098,4.19819102,2.69056E-05,0.000109307,ENSMUSG00000030699,ENSMUSG00000030699,Tbx6,protein coding gene
ENSMUSG00000024985.18,340.7483685,2.252617344,0.193507066,11.64100818,2.54984E-31,1.64437E-29,ENSMUSG00000024985,ENSMUSG00000024985,Tcf7l2,protein coding gene
ENSMUSG00000040943.12,372.9513409,2.295323399,0.192688712,11.91208024,1.0239E-32,7.29933E-31,ENSMUSG00000040943,ENSMUSG00000040943,Tet2,protein coding gene
