gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000000088.6,111.4528435,-2.64155067,0.373268228,-7.076816282,1.47504E-12,2.48567E-11,ENSMUSG00000000088,ENSMUSG00000000088,Cox5a,protein coding gene
ENSMUSG00000000171.4,158.77198,-2.503714283,0.306758117,-8.16185177,3.29927E-16,8.96084E-15,ENSMUSG00000000171,ENSMUSG00000000171,Sdhd,protein coding gene
ENSMUSG00000000295.12,72.22971733,-2.234298128,0.433136013,-5.158421516,2.4904E-07,1.95962E-06,ENSMUSG00000000295,ENSMUSG00000000295,Hddc2,protein coding gene
ENSMUSG00000000296.7,50.56400576,-2.983257402,0.492766011,-6.054105465,1.412E-09,1.56122E-08,ENSMUSG00000000296,ENSMUSG00000000296,Tpd52l1,protein coding gene
ENSMUSG00000000308.14,53.53074184,-2.090555746,0.45296604,-4.615259339,3.92605E-06,2.47097E-05,ENSMUSG00000000308,ENSMUSG00000000308,Ckmt1,protein coding gene
ENSMUSG00000000339.14,20.86871273,-2.789451876,0.695576613,-4.01027266,6.06487E-05,0.000294864,ENSMUSG00000000339,ENSMUSG00000000339,Rtca,protein coding gene
ENSMUSG00000000355.13,68.67014414,-2.082326526,0.389125517,-5.351297808,8.73257E-08,7.41252E-07,ENSMUSG00000000355,ENSMUSG00000000355,Mcts1,protein coding gene
ENSMUSG00000000394.15,743.4552658,-2.701679744,0.36461414,-7.409695474,1.2659E-13,2.44864E-12,ENSMUSG00000000394,ENSMUSG00000000394,Gcg,protein coding gene
ENSMUSG00000000561.14,72.31030722,-2.507465486,0.546010387,-4.592340263,4.38303E-06,2.73847E-05,ENSMUSG00000000561,ENSMUSG00000000561,Wdr77,protein coding gene
ENSMUSG00000000563.17,391.3007837,-3.172204578,0.282824538,-11.21615754,3.39712E-29,3.6848E-27,ENSMUSG00000000563,ENSMUSG00000000563,Atp5pb,protein coding gene
ENSMUSG00000000581.8,55.36828447,-3.439658524,0.597670935,-5.755104224,8.65884E-09,8.58271E-08,ENSMUSG00000000581,ENSMUSG00000000581,C1d,protein coding gene
ENSMUSG00000000811.13,13.85502006,-2.258642649,0.780465863,-2.89396725,0.003804078,0.011375728,ENSMUSG00000000811,ENSMUSG00000000811,Txnrd3,protein coding gene
ENSMUSG00000001056.3,217.9724978,-2.937794082,0.417450691,-7.037463702,1.95771E-12,3.24166E-11,ENSMUSG00000001056,ENSMUSG00000001056,Nhp2,protein coding gene
ENSMUSG00000001105.15,648.339825,-2.60077422,0.305435504,-8.514970231,1.66633E-17,5.36797E-16,ENSMUSG00000001105,ENSMUSG00000001105,Ift20,protein coding gene
ENSMUSG00000001134.9,37.65727692,-2.668141917,0.568071037,-4.696845538,2.6421E-06,1.7276E-05,ENSMUSG00000001134,ENSMUSG00000001134,Uxt,protein coding gene
ENSMUSG00000001289.12,681.2070309,-3.05515302,0.292871223,-10.43172827,1.77628E-25,1.28991E-23,ENSMUSG00000001289,ENSMUSG00000001289,Pfdn5,protein coding gene
ENSMUSG00000001313.12,23.14572779,-2.143487895,0.651305263,-3.291064909,0.000998089,0.003556184,ENSMUSG00000001313,ENSMUSG00000001313,Rnd2,protein coding gene
ENSMUSG00000001380.6,174.692574,-2.107331096,0.334980152,-6.290913313,3.15604E-10,3.85518E-09,ENSMUSG00000001380,ENSMUSG00000001380,Hars1,protein coding gene
ENSMUSG00000001383.8,75.56778476,-2.158469387,0.451987068,-4.775511376,1.79251E-06,1.20708E-05,ENSMUSG00000001383,ENSMUSG00000001383,Zmat2,protein coding gene
ENSMUSG00000001665.10,115.8501213,-2.137643122,0.383593878,-5.572672673,2.50861E-08,2.31142E-07,ENSMUSG00000001665,ENSMUSG00000001665,Gstt3,protein coding gene
ENSMUSG00000001707.7,27.53128154,-2.693724094,0.612577781,-4.397358473,1.09576E-05,6.29329E-05,ENSMUSG00000001707,ENSMUSG00000001707,Eef1e1,protein coding gene
ENSMUSG00000001774.7,57.41153923,-2.422464492,0.49568315,-4.887122937,1.0232E-06,7.20445E-06,ENSMUSG00000001774,ENSMUSG00000001774,Chordc1,protein coding gene
ENSMUSG00000001783.3,460.8429143,-2.718529104,0.233095093,-11.66274704,1.97564E-31,2.47142E-29,ENSMUSG00000001783,ENSMUSG00000001783,Rtcb,protein coding gene
ENSMUSG00000001891.16,80.6286267,-2.550185063,0.385682308,-6.612139084,3.78806E-11,5.28232E-10,ENSMUSG00000001891,ENSMUSG00000001891,Ugp2,protein coding gene
ENSMUSG00000001999.15,25.94948814,-2.193567947,0.716364593,-3.062083148,0.002198024,0.007024004,ENSMUSG00000001999,ENSMUSG00000001999,Blvra,protein coding gene
ENSMUSG00000002014.12,1830.596273,-3.085333587,0.26623361,-11.58882074,4.69553E-31,5.70723E-29,ENSMUSG00000002014,ENSMUSG00000002014,Ssr4,protein coding gene
ENSMUSG00000002015.5,107.8661011,-2.54595681,0.431589207,-5.899027982,3.65649E-09,3.80249E-08,ENSMUSG00000002015,ENSMUSG00000002015,Bcap31,protein coding gene
ENSMUSG00000002017.9,145.5259733,-2.056993448,0.332415751,-6.188014373,6.09268E-10,7.14202E-09,ENSMUSG00000002017,ENSMUSG00000002017,Fam98a,protein coding gene
ENSMUSG00000002043.17,128.493881,-2.372871441,0.436768382,-5.432791238,5.54793E-08,4.84116E-07,ENSMUSG00000002043,ENSMUSG00000002043,Trappc6a,protein coding gene
ENSMUSG00000002064.10,126.5670577,-2.50898094,0.343765805,-7.29851808,2.90954E-13,5.35594E-12,ENSMUSG00000002064,ENSMUSG00000002064,Sdf2,protein coding gene
ENSMUSG00000002102.15,310.1310874,-2.314736145,0.266279127,-8.692893708,3.53323E-18,1.25889E-16,ENSMUSG00000002102,ENSMUSG00000002102,Psmc3,protein coding gene
ENSMUSG00000002308.15,168.6794701,-2.286016947,0.317591937,-7.197969093,6.1116E-13,1.07316E-11,ENSMUSG00000002308,ENSMUSG00000002308,Cd320,protein coding gene
ENSMUSG00000002332.15,173.6138798,-2.057921903,0.330628935,-6.22426438,4.83821E-10,5.74584E-09,ENSMUSG00000002332,ENSMUSG00000002332,Dhrs1,protein coding gene
ENSMUSG00000002477.4,23.4655559,-3.783497409,0.765125377,-4.944937816,7.61682E-07,5.5172E-06,ENSMUSG00000002477,ENSMUSG00000002477,Snrpd1,protein coding gene
ENSMUSG00000002580.7,82.2978561,-2.505586749,0.45697633,-5.482968342,4.18248E-08,3.71395E-07,ENSMUSG00000002580,ENSMUSG00000002580,Mien1,protein coding gene
ENSMUSG00000002661.14,41.96412779,-2.391987298,0.571284596,-4.187032722,2.82625E-05,0.000148714,ENSMUSG00000002661,ENSMUSG00000002661,Alkbh7,protein coding gene
ENSMUSG00000002768.7,127.3893176,-2.167459329,0.325891167,-6.650868599,2.91368E-11,4.13367E-10,ENSMUSG00000002768,ENSMUSG00000002768,Mea1,protein coding gene
ENSMUSG00000003038.15,57.03808766,-2.675069984,0.462042809,-5.789658301,7.05298E-09,7.10187E-08,ENSMUSG00000003038,ENSMUSG00000003038,Hmgn2,protein coding gene
ENSMUSG00000003355.6,1361.173417,-2.923394385,0.318873201,-9.167889848,4.82369E-20,2.07709E-18,ENSMUSG00000003355,ENSMUSG00000003355,Fkbp11,protein coding gene
ENSMUSG00000003380.11,1698.819157,-2.347025523,0.283347003,-8.283219873,1.19889E-16,3.43588E-15,ENSMUSG00000003380,ENSMUSG00000003380,Rabac1,protein coding gene
ENSMUSG00000003429.11,1360.186853,-2.564917162,0.286013377,-8.967822371,3.02434E-19,1.19703E-17,ENSMUSG00000003429,ENSMUSG00000003429,Rps11,protein coding gene
ENSMUSG00000003604.14,99.62152045,-2.242472589,0.365466167,-6.135923909,8.46657E-10,9.75135E-09,ENSMUSG00000003604,ENSMUSG00000003604,Aven,protein coding gene
ENSMUSG00000003809.14,322.6576552,-2.013176372,0.239328177,-8.411781662,4.03829E-17,1.23586E-15,ENSMUSG00000003809,ENSMUSG00000003809,Gcdh,protein coding gene
ENSMUSG00000003955.7,97.65581872,-3.380834417,0.475410971,-7.111393353,1.14877E-12,1.9512E-11,ENSMUSG00000003955,ENSMUSG00000003955,Fam162a,protein coding gene
