gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000000094.12,10.03512168,3.345646269,1.241631519,2.694556491,0.007048238,0.019342306,ENSMUSG00000000094,ENSMUSG00000000094,Tbx4,protein coding gene
ENSMUSG00000000120.6,3.768613531,5.266049221,2.273437486,2.316337816,0.020539831,0.047723919,ENSMUSG00000000120,ENSMUSG00000000120,Ngfr,protein coding gene
ENSMUSG00000000157.15,23.65087204,2.170107269,0.680063786,3.191034892,0.001417642,0.004796751,ENSMUSG00000000157,ENSMUSG00000000157,Itgb2l,protein coding gene
ENSMUSG00000000409.14,27.44689815,3.186990482,0.847768273,3.759270763,0.000170409,0.000744829,ENSMUSG00000000409,ENSMUSG00000000409,Lck,protein coding gene
ENSMUSG00000000411.7,3.031684504,4.913136658,2.104261833,2.334850436,0.019551235,0.045786973,ENSMUSG00000000411,ENSMUSG00000000411,Tssk3,protein coding gene
ENSMUSG00000000416.16,14.50312805,2.956173681,0.924893942,3.196229908,0.001392361,0.004729888,ENSMUSG00000000416,ENSMUSG00000000416,Cttnbp2,protein coding gene
ENSMUSG00000000441.17,79.9821278,2.573801057,0.53597302,4.80210936,1.57003E-06,1.07029E-05,ENSMUSG00000000441,ENSMUSG00000000441,Raf1,protein coding gene
ENSMUSG00000000794.9,14.59248528,2.407531862,0.853634697,2.820330373,0.004797423,0.013874154,ENSMUSG00000000794,ENSMUSG00000000794,Kcnn3,protein coding gene
ENSMUSG00000000861.15,44.54496413,2.340371878,0.565409864,4.139248409,3.48445E-05,0.00017946,ENSMUSG00000000861,ENSMUSG00000000861,Bcl11a,protein coding gene
ENSMUSG00000001034.17,68.11450901,2.019143631,0.42761408,4.721882939,2.33671E-06,1.54469E-05,ENSMUSG00000001034,ENSMUSG00000001034,Mapk7,protein coding gene
ENSMUSG00000001065.14,93.58601176,2.557587525,0.385152947,6.640446462,3.12734E-11,4.4076E-10,ENSMUSG00000001065,ENSMUSG00000001065,Zfp276,protein coding gene
ENSMUSG00000001098.15,62.2231922,2.075167612,0.550533347,3.769376777,0.000163656,0.000718793,ENSMUSG00000001098,ENSMUSG00000001098,Kctd10,protein coding gene
ENSMUSG00000001151.9,101.8869127,2.395618356,0.349565462,6.853132299,7.22502E-12,1.11955E-10,ENSMUSG00000001151,ENSMUSG00000001151,Pcnt,protein coding gene
ENSMUSG00000001281.9,53.09871246,2.180209185,0.771149772,2.827218866,0.004695422,0.013618235,ENSMUSG00000001281,ENSMUSG00000001281,Itgb7,protein coding gene
ENSMUSG00000001333.9,11.26763732,6.821578006,1.647979094,4.139359552,3.48277E-05,0.000179458,ENSMUSG00000001333,ENSMUSG00000001333,Sync,protein coding gene
ENSMUSG00000001419.17,664.7534818,2.071125051,0.204808577,10.11249178,4.86314E-24,3.06413E-22,ENSMUSG00000001419,ENSMUSG00000001419,Mef2d,protein coding gene
ENSMUSG00000001583.13,70.23084816,2.007440399,0.494628746,4.058479038,4.93934E-05,0.000246077,ENSMUSG00000001583,ENSMUSG00000001583,Tnk1,protein coding gene
ENSMUSG00000001741.12,79.2292765,3.288446581,0.569248824,5.776817518,7.61268E-09,7.61179E-08,ENSMUSG00000001741,ENSMUSG00000001741,Il16,protein coding gene
ENSMUSG00000001855.15,153.4537033,2.562616965,0.323534912,7.920681426,2.36212E-15,5.67771E-14,ENSMUSG00000001855,ENSMUSG00000001855,Nup214,protein coding gene
ENSMUSG00000001995.8,51.929325,2.809122071,0.529411172,5.306125408,1.1198E-07,9.3342E-07,ENSMUSG00000001995,ENSMUSG00000001995,Sipa1l2,protein coding gene
ENSMUSG00000001998.15,43.52126088,2.310615477,0.607166006,3.805574514,0.000141475,0.000630751,ENSMUSG00000001998,ENSMUSG00000001998,Ap4e1,protein coding gene
ENSMUSG00000002020.15,21.80406652,2.820136991,0.995037042,2.834203023,0.004594014,0.013378454,ENSMUSG00000002020,ENSMUSG00000002020,Ltbp2,protein coding gene
ENSMUSG00000002028.12,932.4489404,3.722500223,0.232517871,16.00952305,1.09647E-57,1.17446E-54,ENSMUSG00000002028,ENSMUSG00000002028,Kmt2a,protein coding gene
ENSMUSG00000002111.8,44.2871611,2.021015529,0.710423497,2.844803892,0.004443877,0.013016436,ENSMUSG00000002111,ENSMUSG00000002111,Spi1,protein coding gene
ENSMUSG00000002204.9,30.59659284,2.633188849,0.964660389,2.729653752,0.006340088,0.017650491,ENSMUSG00000002204,ENSMUSG00000002204,Napsa,protein coding gene
ENSMUSG00000002249.17,67.20614551,2.565538082,0.465869754,5.506985723,3.6503E-08,3.27876E-07,ENSMUSG00000002249,ENSMUSG00000002249,Tead3,protein coding gene
ENSMUSG00000002289.15,46.36963268,3.848229017,0.646003801,5.956975809,2.56948E-09,2.73175E-08,ENSMUSG00000002289,ENSMUSG00000002289,Angptl4,protein coding gene
ENSMUSG00000002409.18,89.21883542,3.015011865,0.397425745,7.586352674,3.29036E-14,6.90211E-13,ENSMUSG00000002409,ENSMUSG00000002409,Dyrk1b,protein coding gene
ENSMUSG00000002489.15,42.50203108,3.255119617,0.56683529,5.742619901,9.32228E-09,9.20414E-08,ENSMUSG00000002489,ENSMUSG00000002489,Tiam1,protein coding gene
ENSMUSG00000002578.15,16.19164045,2.557446259,0.824622992,3.101352114,0.001926391,0.006251559,ENSMUSG00000002578,ENSMUSG00000002578,Ikzf4,protein coding gene
ENSMUSG00000002771.12,16.92826843,3.503895488,0.93819482,3.734720565,0.000187924,0.000810631,ENSMUSG00000002771,ENSMUSG00000002771,Grin2d,protein coding gene
ENSMUSG00000002831.13,170.1355879,2.009515459,0.551817883,3.641628007,0.000270919,0.001119608,ENSMUSG00000002831,ENSMUSG00000002831,Plin4,protein coding gene
ENSMUSG00000002885.14,171.4907524,2.338544807,0.523856618,4.464093279,8.04085E-06,4.75187E-05,ENSMUSG00000002885,ENSMUSG00000002885,Adgre5,protein coding gene
ENSMUSG00000003032.8,152.2518056,2.310300631,0.374275785,6.172722686,6.71239E-10,7.82564E-09,ENSMUSG00000003032,ENSMUSG00000003032,Klf4,protein coding gene
ENSMUSG00000003119.14,216.0076211,3.55152789,0.330975286,10.73049269,7.32048E-27,6.14992E-25,ENSMUSG00000003119,ENSMUSG00000003119,Cdk12,protein coding gene
ENSMUSG00000003134.10,209.213913,2.198215835,0.284806224,7.718285808,1.17905E-14,2.64137E-13,ENSMUSG00000003134,ENSMUSG00000003134,Tbc1d8,protein coding gene
ENSMUSG00000003154.15,172.5204562,2.0027621,0.297233317,6.738013489,1.60567E-11,2.37223E-10,ENSMUSG00000003154,ENSMUSG00000003154,Foxj2,protein coding gene
ENSMUSG00000003233.11,535.3666183,3.744131097,0.269334118,13.90143633,6.20829E-44,2.36439E-41,ENSMUSG00000003233,ENSMUSG00000003233,Dvl3,protein coding gene
ENSMUSG00000003282.9,7.748307062,6.287039408,1.757883201,3.576483014,0.000348248,0.001400017,ENSMUSG00000003282,ENSMUSG00000003282,Plag1,protein coding gene
ENSMUSG00000003316.14,274.1425541,2.017942338,0.27421593,7.358953728,1.85357E-13,3.514E-12,ENSMUSG00000003316,ENSMUSG00000003316,Glg1,protein coding gene
ENSMUSG00000003348.9,30.94315633,3.148487717,0.735724196,4.279440225,1.87364E-05,0.000102622,ENSMUSG00000003348,ENSMUSG00000003348,Mob3a,protein coding gene
ENSMUSG00000003418.11,13.02058154,3.172402238,1.142008807,2.777913988,0.00547091,0.015548997,ENSMUSG00000003418,ENSMUSG00000003418,St8sia6,protein coding gene
ENSMUSG00000003452.15,106.5149954,2.01364843,0.38781218,5.192329011,2.0768E-07,1.65391E-06,ENSMUSG00000003452,ENSMUSG00000003452,Bicd1,protein coding gene
ENSMUSG00000003779.15,3.550008176,5.132868008,2.034015556,2.523514627,0.011618823,0.029565461,ENSMUSG00000003779,ENSMUSG00000003779,Kif20a,protein coding gene
ENSMUSG00000003847.16,469.6159828,2.854905538,0.259991344,10.98077149,4.72868E-28,4.52738E-26,ENSMUSG00000003847,ENSMUSG00000003847,Nfat5,protein coding gene
ENSMUSG00000004105.8,153.6668852,2.216061776,0.353207262,6.274111595,3.51636E-10,4.2589E-09,ENSMUSG00000004105,ENSMUSG00000004105,Angptl2,protein coding gene
ENSMUSG00000004110.14,33.65833765,4.162988784,0.972650036,4.280047942,1.86853E-05,0.000102375,ENSMUSG00000004110,ENSMUSG00000004110,Cacna1e,protein coding gene
ENSMUSG00000004151.16,21.57947911,2.924664028,0.947003289,3.088335659,0.00201281,0.006490223,ENSMUSG00000004151,ENSMUSG00000004151,Etv1,protein coding gene
ENSMUSG00000004328.15,22.64629686,3.481035855,0.82628491,4.212875984,2.5214E-05,0.00013449,ENSMUSG00000004328,ENSMUSG00000004328,Hif3a,protein coding gene
ENSMUSG00000004612.9,11.11929917,2.734941122,1.137472106,2.404402804,0.016198913,0.039183765,ENSMUSG00000004612,ENSMUSG00000004612,Nkg7,protein coding gene
ENSMUSG00000004677.15,398.1384423,2.291107463,0.246014781,9.312885409,1.24406E-20,5.59598E-19,ENSMUSG00000004677,ENSMUSG00000004677,Myo9b,protein coding gene
ENSMUSG00000004815.12,43.08468285,3.874497395,0.68403247,5.664200993,1.47711E-08,1.4175E-07,ENSMUSG00000004815,ENSMUSG00000004815,Dgkq,protein coding gene
ENSMUSG00000004933.17,16.63062163,2.919022504,0.834462334,3.498087791,0.000468607,0.001814092,ENSMUSG00000004933,ENSMUSG00000004933,Matk,protein coding gene
ENSMUSG00000004952.13,57.10559235,2.02184973,0.44823073,4.510734304,6.46036E-06,3.90676E-05,ENSMUSG00000004952,ENSMUSG00000004952,Rasa4,protein coding gene
ENSMUSG00000005045.16,37.27148964,2.205619258,0.62628814,3.521732438,0.000428737,0.001679088,ENSMUSG00000005045,ENSMUSG00000005045,Chd5,protein coding gene
ENSMUSG00000005057.13,16.69027201,3.898802776,1.042343496,3.740420305,0.000183713,0.000795068,ENSMUSG00000005057,ENSMUSG00000005057,Sh2b2,protein coding gene
ENSMUSG00000005148.7,27.49444533,5.120471241,1.019978065,5.020177804,5.16237E-07,3.8567E-06,ENSMUSG00000005148,ENSMUSG00000005148,Klf5,protein coding gene
ENSMUSG00000005397.7,322.7318396,2.128490211,0.293284975,7.25741307,3.94563E-13,7.11792E-12,ENSMUSG00000005397,ENSMUSG00000005397,Nid1,protein coding gene
ENSMUSG00000005442.13,623.7062203,2.831656941,0.220791273,12.82504013,1.18725E-37,2.57558E-35,ENSMUSG00000005442,ENSMUSG00000005442,Cic,protein coding gene
ENSMUSG00000005465.9,15.01588871,3.395133481,1.157771092,2.932473876,0.003362732,0.010199785,ENSMUSG00000005465,ENSMUSG00000005465,Il27ra,protein coding gene
ENSMUSG00000005533.10,378.6023776,2.614260005,0.245382221,10.6538281,1.67339E-26,1.35276E-24,ENSMUSG00000005533,ENSMUSG00000005533,Igf1r,protein coding gene
ENSMUSG00000005540.10,24.60054503,2.490351037,0.840890431,2.961564249,0.003060806,0.009400734,ENSMUSG00000005540,ENSMUSG00000005540,Fcer2a,protein coding gene
ENSMUSG00000005580.11,230.2079013,4.878608712,0.376537849,12.95648958,2.15904E-38,5.00022E-36,ENSMUSG00000005580,ENSMUSG00000005580,Adcy9,protein coding gene
ENSMUSG00000005611.15,63.49479177,2.383277687,0.559512481,4.259561256,2.04829E-05,0.000111263,ENSMUSG00000005611,ENSMUSG00000005611,Irag1,protein coding gene
ENSMUSG00000005621.11,347.7829122,2.522063906,0.280405544,8.994343928,2.37647E-19,9.51589E-18,ENSMUSG00000005621,ENSMUSG00000005621,Zfp592,protein coding gene
ENSMUSG00000005686.16,43.35205334,2.017852125,0.555349417,3.633482025,0.000279622,0.001151408,ENSMUSG00000005686,ENSMUSG00000005686,Ampd3,protein coding gene
ENSMUSG00000005774.12,30.04943955,2.958499715,0.779905166,3.793409562,0.000148593,0.000658883,ENSMUSG00000005774,ENSMUSG00000005774,Rfx5,protein coding gene
ENSMUSG00000005886.14,239.5948172,2.990251889,0.280116727,10.6750208,1.33228E-26,1.08726E-24,ENSMUSG00000005886,ENSMUSG00000005886,Ncoa2,protein coding gene
ENSMUSG00000005893.14,94.27903641,3.694182113,0.443142068,8.336338116,7.66266E-17,2.24483E-15,ENSMUSG00000005893,ENSMUSG00000005893,Nr2c2,protein coding gene
ENSMUSG00000005947.11,4.827352952,5.60809611,1.887359914,2.971397278,0.00296448,0.009140925,ENSMUSG00000005947,ENSMUSG00000005947,Itgae,protein coding gene
ENSMUSG00000006134.3,64.19272029,2.694116559,0.548258505,4.913953063,8.92581E-07,6.37112E-06,ENSMUSG00000006134,ENSMUSG00000006134,Crkl,protein coding gene
ENSMUSG00000006204.5,73.83550173,3.974979746,0.556929525,7.137311931,9.51737E-13,1.63764E-11,ENSMUSG00000006204,ENSMUSG00000006204,Cdcp3,protein coding gene
ENSMUSG00000006281.7,228.24184,2.047616583,0.28458391,7.195124229,6.24039E-13,1.09242E-11,ENSMUSG00000006281,ENSMUSG00000006281,Tep1,protein coding gene
ENSMUSG00000006313.5,3.342053619,5.060640754,2.038933486,2.482003846,0.013064587,0.032719697,ENSMUSG00000006313,ENSMUSG00000006313,Upk1a,protein coding gene
ENSMUSG00000006445.3,39.9644819,2.85817155,0.707584759,4.039334527,5.36031E-05,0.00026398,ENSMUSG00000006445,ENSMUSG00000006445,Epha2,protein coding gene
